Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,symmetric,0.01,0.42424355632088706
75% Corpus,6,symmetric,0.31,0.44780842518978864
75% Corpus,6,symmetric,0.61,0.4541362254542689
75% Corpus,6,symmetric,0.9099999999999999,0.42762818641221373
75% Corpus,6,symmetric,symmetric,0.43077227645160754
75% Corpus,6,asymmetric,0.01,0.4406601166960276
75% Corpus,6,asymmetric,0.31,0.427646413268502
75% Corpus,6,asymmetric,0.61,0.5460362945954055
75% Corpus,6,asymmetric,0.9099999999999999,0.5413236708359552
75% Corpus,6,asymmetric,symmetric,0.44762423195361917
75% Corpus,7,0.01,0.01,0.4115718986441079
75% Corpus,7,0.01,0.31,0.4209677763028799
75% Corpus,7,0.01,0.61,0.4591883136131458
75% Corpus,7,0.01,0.9099999999999999,0.4591883136131458
75% Corpus,7,0.01,symmetric,0.3968775472604337
75% Corpus,7,0.31,0.01,0.43305605975665484
75% Corpus,7,0.31,0.31,0.41521008423386846
75% Corpus,7,0.31,0.61,0.4308226401306716
75% Corpus,7,0.31,0.9099999999999999,0.41021772546928253
75% Corpus,7,0.31,symmetric,0.42329572810519844
75% Corpus,7,0.61,0.01,0.46346156049400583
75% Corpus,7,0.61,0.31,0.3514309002594507
75% Corpus,7,0.61,0.61,0.5110038892257194
75% Corpus,7,0.61,0.9099999999999999,0.511366915790708
75% Corpus,7,0.61,symmetric,0.37697790220607974
75% Corpus,7,0.9099999999999999,0.01,0.47073230494591506
75% Corpus,7,0.9099999999999999,0.31,0.48638301372138193
75% Corpus,7,0.9099999999999999,0.61,0.5085592252501753
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5085592252501753
75% Corpus,7,0.9099999999999999,symmetric,0.35182404838959414
75% Corpus,7,symmetric,0.01,0.444085932909348
75% Corpus,7,symmetric,0.31,0.4472194631268943
75% Corpus,7,symmetric,0.61,0.4000891992041634
75% Corpus,7,symmetric,0.9099999999999999,0.4137684655941186
75% Corpus,7,symmetric,symmetric,0.45539900692890717
75% Corpus,7,asymmetric,0.01,0.47665885921529105
75% Corpus,7,asymmetric,0.31,0.491844153296094
75% Corpus,7,asymmetric,0.61,0.5115015458788237
75% Corpus,7,asymmetric,0.9099999999999999,0.48913930089566826
75% Corpus,7,asymmetric,symmetric,0.46076938413350893
75% Corpus,8,0.01,0.01,0.45095554080834555
75% Corpus,8,0.01,0.31,0.42929580790854605
75% Corpus,8,0.01,0.61,0.4281061172485179
75% Corpus,8,0.01,0.9099999999999999,0.4775848004231786
75% Corpus,8,0.01,symmetric,0.5006902087357695
75% Corpus,8,0.31,0.01,0.4166754967088472
75% Corpus,8,0.31,0.31,0.41566378861245395
75% Corpus,8,0.31,0.61,0.44015159512984103
75% Corpus,8,0.31,0.9099999999999999,0.4170257403581902
75% Corpus,8,0.31,symmetric,0.3718936374455667
75% Corpus,8,0.61,0.01,0.43868158938532864
75% Corpus,8,0.61,0.31,0.4113569774934175
75% Corpus,8,0.61,0.61,0.5133716979613314
75% Corpus,8,0.61,0.9099999999999999,0.5088120054547831
75% Corpus,8,0.61,symmetric,0.36853195284190154
75% Corpus,8,0.9099999999999999,0.01,0.4881928443355318
75% Corpus,8,0.9099999999999999,0.31,0.5133961376466563
75% Corpus,8,0.9099999999999999,0.61,0.5085592252501752
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5085592252501752
75% Corpus,8,0.9099999999999999,symmetric,0.412521886145239
75% Corpus,8,symmetric,0.01,0.4195423015463088
75% Corpus,8,symmetric,0.31,0.48804369392235736
75% Corpus,8,symmetric,0.61,0.44032265592981534
75% Corpus,8,symmetric,0.9099999999999999,0.4281061172485179
75% Corpus,8,symmetric,symmetric,0.48451615023260597
75% Corpus,8,asymmetric,0.01,0.43873903787126123
75% Corpus,8,asymmetric,0.31,0.4445170983339215
75% Corpus,8,asymmetric,0.61,0.448518957568005
75% Corpus,8,asymmetric,0.9099999999999999,0.47246066926325486
75% Corpus,8,asymmetric,symmetric,0.40706244236987243
75% Corpus,9,0.01,0.01,0.4150073182683108
75% Corpus,9,0.01,0.31,0.47789826361673715
75% Corpus,9,0.01,0.61,0.4279052849195668
75% Corpus,9,0.01,0.9099999999999999,0.4467840235407998
75% Corpus,9,0.01,symmetric,0.4745796814680259
75% Corpus,9,0.31,0.01,0.34763516790927335
75% Corpus,9,0.31,0.31,0.4539632827565069
75% Corpus,9,0.31,0.61,0.45160505185395855
75% Corpus,9,0.31,0.9099999999999999,0.4723288839643621
75% Corpus,9,0.31,symmetric,0.37104923879056756
75% Corpus,9,0.61,0.01,0.469082470073062
75% Corpus,9,0.61,0.31,0.4174618216489564
75% Corpus,9,0.61,0.61,0.5143269396872181
75% Corpus,9,0.61,0.9099999999999999,0.5085592252501752
75% Corpus,9,0.61,symmetric,0.3531393735654134
75% Corpus,9,0.9099999999999999,0.01,0.5090515167503489
75% Corpus,9,0.9099999999999999,0.31,0.5147419583824422
75% Corpus,9,0.9099999999999999,0.61,0.5085592252501752
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5085592252501752
75% Corpus,9,0.9099999999999999,symmetric,0.4372131799162686
75% Corpus,9,symmetric,0.01,0.386286749846325
75% Corpus,9,symmetric,0.31,0.4843053496278972
75% Corpus,9,symmetric,0.61,0.48315098769395143
75% Corpus,9,symmetric,0.9099999999999999,0.4051760239535447
75% Corpus,9,symmetric,symmetric,0.4839116841383151
75% Corpus,9,asymmetric,0.01,0.5273589759328625
75% Corpus,9,asymmetric,0.31,0.49647093357225214
75% Corpus,9,asymmetric,0.61,0.4779334763320041
75% Corpus,9,asymmetric,0.9099999999999999,0.49675065375241556
75% Corpus,9,asymmetric,symmetric,0.5335774389584254
75% Corpus,10,0.01,0.01,0.41107316258764526
75% Corpus,10,0.01,0.31,0.4561685492236894
75% Corpus,10,0.01,0.61,0.4574445598054667
75% Corpus,10,0.01,0.9099999999999999,0.4257506212018499
75% Corpus,10,0.01,symmetric,0.40050102408362126
75% Corpus,10,0.31,0.01,0.40185277929978114
75% Corpus,10,0.31,0.31,0.4082112820119825
75% Corpus,10,0.31,0.61,0.4094335220655381
75% Corpus,10,0.31,0.9099999999999999,0.4072573444901921
75% Corpus,10,0.31,symmetric,0.4026185810542701
75% Corpus,10,0.61,0.01,0.5015372764905646
75% Corpus,10,0.61,0.31,0.4979660068198304
75% Corpus,10,0.61,0.61,0.5082961689241916
75% Corpus,10,0.61,0.9099999999999999,0.5085592252501752
75% Corpus,10,0.61,symmetric,0.38631223168142154
75% Corpus,10,0.9099999999999999,0.01,0.5133019591573567
75% Corpus,10,0.9099999999999999,0.31,0.514787642931339
75% Corpus,10,0.9099999999999999,0.61,0.5085592252501752
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5085592252501752
75% Corpus,10,0.9099999999999999,symmetric,0.4628128310553395
75% Corpus,10,symmetric,0.01,0.39691380296802453
75% Corpus,10,symmetric,0.31,0.3991459783069536
75% Corpus,10,symmetric,0.61,0.4517376059177872
75% Corpus,10,symmetric,0.9099999999999999,0.4574445598054667
75% Corpus,10,symmetric,symmetric,0.39255658586502246
75% Corpus,10,asymmetric,0.01,0.47873303777095677
75% Corpus,10,asymmetric,0.31,0.5027458805556577
75% Corpus,10,asymmetric,0.61,0.4443897738633103
75% Corpus,10,asymmetric,0.9099999999999999,0.42615881917980625
75% Corpus,10,asymmetric,symmetric,0.4748954939328331
100% Corpus,2,0.01,0.01,0.4774738770680779
100% Corpus,2,0.01,0.31,0.517051283397091
100% Corpus,2,0.01,0.61,0.49559087433147564
100% Corpus,2,0.01,0.9099999999999999,0.49559087433147564
100% Corpus,2,0.01,symmetric,0.49559087433147564
100% Corpus,2,0.31,0.01,0.4310807668593686
100% Corpus,2,0.31,0.31,0.5296871415415261
100% Corpus,2,0.31,0.61,0.5008128172631493
100% Corpus,2,0.31,0.9099999999999999,0.5065189850968694
100% Corpus,2,0.31,symmetric,0.5296871415415261
100% Corpus,2,0.61,0.01,0.5237986596297257
100% Corpus,2,0.61,0.31,0.5179645151888461
100% Corpus,2,0.61,0.61,0.48532711063222855
100% Corpus,2,0.61,0.9099999999999999,0.43390188767145066
100% Corpus,2,0.61,symmetric,0.49324350945830475
100% Corpus,2,0.9099999999999999,0.01,0.47251818839854454
100% Corpus,2,0.9099999999999999,0.31,0.46178620828806816
100% Corpus,2,0.9099999999999999,0.61,0.5047599772035939
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4479219822659424
100% Corpus,2,0.9099999999999999,symmetric,0.508014930291323
100% Corpus,2,symmetric,0.01,0.46403670904119676
100% Corpus,2,symmetric,0.31,0.4950772951191751
100% Corpus,2,symmetric,0.61,0.48864854194771024
100% Corpus,2,symmetric,0.9099999999999999,0.4817167013655974
100% Corpus,2,symmetric,symmetric,0.5082818004591168
100% Corpus,2,asymmetric,0.01,0.332974589137775
100% Corpus,2,asymmetric,0.31,0.34644872011718614
100% Corpus,2,asymmetric,0.61,0.3832151490657926
100% Corpus,2,asymmetric,0.9099999999999999,0.37982378264208794
100% Corpus,2,asymmetric,symmetric,0.3750592442587686
100% Corpus,3,0.01,0.01,0.5117590060485381
100% Corpus,3,0.01,0.31,0.5259196827842975
100% Corpus,3,0.01,0.61,0.5289128189316883
100% Corpus,3,0.01,0.9099999999999999,0.49533944457804147
100% Corpus,3,0.01,symmetric,0.5259196827842975
100% Corpus,3,0.31,0.01,0.43854196294564457
100% Corpus,3,0.31,0.31,0.5291327916794792
100% Corpus,3,0.31,0.61,0.5488600433227163
100% Corpus,3,0.31,0.9099999999999999,0.5395526151540622
100% Corpus,3,0.31,symmetric,0.5291327916794792
100% Corpus,3,0.61,0.01,0.47547667446859015
100% Corpus,3,0.61,0.31,0.42517292360996023
100% Corpus,3,0.61,0.61,0.4067117643336195
100% Corpus,3,0.61,0.9099999999999999,0.4113076159312333
100% Corpus,3,0.61,symmetric,0.4201113151615508
100% Corpus,3,0.9099999999999999,0.01,0.4790956092132285
100% Corpus,3,0.9099999999999999,0.31,0.4877884995952697
100% Corpus,3,0.9099999999999999,0.61,0.42558643405447744
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.38321241876509804
100% Corpus,3,0.9099999999999999,symmetric,0.4877884995952697
100% Corpus,3,symmetric,0.01,0.43939195312547324
100% Corpus,3,symmetric,0.31,0.5160938088679795
100% Corpus,3,symmetric,0.61,0.5488600433227163
100% Corpus,3,symmetric,0.9099999999999999,0.5484033451042
100% Corpus,3,symmetric,symmetric,0.5291327916794792
100% Corpus,3,asymmetric,0.01,0.3943078939816629
100% Corpus,3,asymmetric,0.31,0.4287357184237799
100% Corpus,3,asymmetric,0.61,0.43619181688145653
100% Corpus,3,asymmetric,0.9099999999999999,0.42116575859610794
100% Corpus,3,asymmetric,symmetric,0.4287357184237799
100% Corpus,4,0.01,0.01,0.49708731481686186
100% Corpus,4,0.01,0.31,0.5036536796580261
100% Corpus,4,0.01,0.61,0.4447212976521503
100% Corpus,4,0.01,0.9099999999999999,0.44274548020190596
100% Corpus,4,0.01,symmetric,0.5036536796580261
100% Corpus,4,0.31,0.01,0.4592668907618774
100% Corpus,4,0.31,0.31,0.49948077276036107
100% Corpus,4,0.31,0.61,0.5054382847757363
100% Corpus,4,0.31,0.9099999999999999,0.49715397622124546
100% Corpus,4,0.31,symmetric,0.42851064656268045
100% Corpus,4,0.61,0.01,0.45646951702736493
100% Corpus,4,0.61,0.31,0.45729670626964236
100% Corpus,4,0.61,0.61,0.4656288671998564
100% Corpus,4,0.61,0.9099999999999999,0.4735692343824213
100% Corpus,4,0.61,symmetric,0.408890544342669
100% Corpus,4,0.9099999999999999,0.01,0.48532322579511955
100% Corpus,4,0.9099999999999999,0.31,0.43719974137979056
100% Corpus,4,0.9099999999999999,0.61,0.4458270177877959
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3057272239147961
100% Corpus,4,0.9099999999999999,symmetric,0.45477537136374574
100% Corpus,4,symmetric,0.01,0.4415395442781914
100% Corpus,4,symmetric,0.31,0.5044168262536122
100% Corpus,4,symmetric,0.61,0.4909993897954216
100% Corpus,4,symmetric,0.9099999999999999,0.4781821020467951
100% Corpus,4,symmetric,symmetric,0.5033031114020935
100% Corpus,4,asymmetric,0.01,0.3859502379211643
100% Corpus,4,asymmetric,0.31,0.3528784562296581
100% Corpus,4,asymmetric,0.61,0.3946922595428654
100% Corpus,4,asymmetric,0.9099999999999999,0.3798918813017795
100% Corpus,4,asymmetric,symmetric,0.35431962406276934
100% Corpus,5,0.01,0.01,0.4668344849837564
100% Corpus,5,0.01,0.31,0.4995131185157999
100% Corpus,5,0.01,0.61,0.511000645637288
100% Corpus,5,0.01,0.9099999999999999,0.5122047216365772
100% Corpus,5,0.01,symmetric,0.5065842303851443
100% Corpus,5,0.31,0.01,0.4837980813434514
100% Corpus,5,0.31,0.31,0.4743510402437357
100% Corpus,5,0.31,0.61,0.5001537555660126
100% Corpus,5,0.31,0.9099999999999999,0.47534140465644237
100% Corpus,5,0.31,symmetric,0.5089900549296912
100% Corpus,5,0.61,0.01,0.48702474379651023
100% Corpus,5,0.61,0.31,0.450583776731183
100% Corpus,5,0.61,0.61,0.47931981406437024
100% Corpus,5,0.61,0.9099999999999999,0.4061804046716698
100% Corpus,5,0.61,symmetric,0.4598840964975096
100% Corpus,5,0.9099999999999999,0.01,0.5191113792140868
100% Corpus,5,0.9099999999999999,0.31,0.46271570704652704
100% Corpus,5,0.9099999999999999,0.61,0.36260779455155323
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3057272239147961
100% Corpus,5,0.9099999999999999,symmetric,0.48993167749161903
100% Corpus,5,symmetric,0.01,0.4504138927945395
100% Corpus,5,symmetric,0.31,0.5170913084938226
100% Corpus,5,symmetric,0.61,0.5027796529403836
100% Corpus,5,symmetric,0.9099999999999999,0.4759548783209073
100% Corpus,5,symmetric,symmetric,0.509501685829405
100% Corpus,5,asymmetric,0.01,0.3887328323718668
100% Corpus,5,asymmetric,0.31,0.4096506615102653
100% Corpus,5,asymmetric,0.61,0.4986632858467496
100% Corpus,5,asymmetric,0.9099999999999999,0.4988615786820668
100% Corpus,5,asymmetric,symmetric,0.4126246581199292
100% Corpus,6,0.01,0.01,0.45610565821637783
100% Corpus,6,0.01,0.31,0.5088778153058467
100% Corpus,6,0.01,0.61,0.5050716347592071
100% Corpus,6,0.01,0.9099999999999999,0.4889014280986091
100% Corpus,6,0.01,symmetric,0.5135075586773745
100% Corpus,6,0.31,0.01,0.46369504911931775
100% Corpus,6,0.31,0.31,0.5116003823268616
100% Corpus,6,0.31,0.61,0.4957939823504674
100% Corpus,6,0.31,0.9099999999999999,0.4735641960908286
100% Corpus,6,0.31,symmetric,0.4897086939640596
100% Corpus,6,0.61,0.01,0.46325597285756986
100% Corpus,6,0.61,0.31,0.44976213897048806
100% Corpus,6,0.61,0.61,0.4865302881982549
100% Corpus,6,0.61,0.9099999999999999,0.35046690369557937
100% Corpus,6,0.61,symmetric,0.5033171581997128
100% Corpus,6,0.9099999999999999,0.01,0.4985660153337547
100% Corpus,6,0.9099999999999999,0.31,0.4358965395660925
100% Corpus,6,0.9099999999999999,0.61,0.33957217676714846
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3057272239147962
100% Corpus,6,0.9099999999999999,symmetric,0.45096150128521617
100% Corpus,6,symmetric,0.01,0.4319302226926662
100% Corpus,6,symmetric,0.31,0.5017336439880468
100% Corpus,6,symmetric,0.61,0.5119826422948629
100% Corpus,6,symmetric,0.9099999999999999,0.5041760523752097
100% Corpus,6,symmetric,symmetric,0.4947815239934414
100% Corpus,6,asymmetric,0.01,0.40311680370703024
100% Corpus,6,asymmetric,0.31,0.41734600409426154
100% Corpus,6,asymmetric,0.61,0.43623590872088064
100% Corpus,6,asymmetric,0.9099999999999999,0.4400577124752645
100% Corpus,6,asymmetric,symmetric,0.4240891881041615
100% Corpus,7,0.01,0.01,0.4601838258218535
100% Corpus,7,0.01,0.31,0.48241800995528844
100% Corpus,7,0.01,0.61,0.4838674551326339
100% Corpus,7,0.01,0.9099999999999999,0.47110476108411664
100% Corpus,7,0.01,symmetric,0.4643602592954871
100% Corpus,7,0.31,0.01,0.42318615631920614
100% Corpus,7,0.31,0.31,0.4513113327854808
100% Corpus,7,0.31,0.61,0.45163330702297927
100% Corpus,7,0.31,0.9099999999999999,0.4425466251562616
100% Corpus,7,0.31,symmetric,0.44593725314975724
100% Corpus,7,0.61,0.01,0.4196033993202365
100% Corpus,7,0.61,0.31,0.4289185774986454
100% Corpus,7,0.61,0.61,0.4292175796823292
100% Corpus,7,0.61,0.9099999999999999,0.3526568078148605
100% Corpus,7,0.61,symmetric,0.39728323995760295
100% Corpus,7,0.9099999999999999,0.01,0.438427616313349
100% Corpus,7,0.9099999999999999,0.31,0.4245776921207261
100% Corpus,7,0.9099999999999999,0.61,0.32421998490420173
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3057272239147962
100% Corpus,7,0.9099999999999999,symmetric,0.3890090781674078
100% Corpus,7,symmetric,0.01,0.42121839284644513
100% Corpus,7,symmetric,0.31,0.4896398147744622
100% Corpus,7,symmetric,0.61,0.48120013822124125
100% Corpus,7,symmetric,0.9099999999999999,0.47370294399707047
100% Corpus,7,symmetric,symmetric,0.5140708911380152
100% Corpus,7,asymmetric,0.01,0.4838461497715288
100% Corpus,7,asymmetric,0.31,0.4966799668527096
100% Corpus,7,asymmetric,0.61,0.5320057257648922
100% Corpus,7,asymmetric,0.9099999999999999,0.489560981204086
100% Corpus,7,asymmetric,symmetric,0.4463304094958847
100% Corpus,8,0.01,0.01,0.43907711390860765
100% Corpus,8,0.01,0.31,0.44879927440565626
100% Corpus,8,0.01,0.61,0.4650253017943031
100% Corpus,8,0.01,0.9099999999999999,0.47593998999079146
100% Corpus,8,0.01,symmetric,0.4468275553127099
100% Corpus,8,0.31,0.01,0.41698085868928036
100% Corpus,8,0.31,0.31,0.4289517185320646
100% Corpus,8,0.31,0.61,0.4111856206069334
100% Corpus,8,0.31,0.9099999999999999,0.43168247664540726
100% Corpus,8,0.31,symmetric,0.4108994606943479
100% Corpus,8,0.61,0.01,0.3831436052668401
100% Corpus,8,0.61,0.31,0.455228235677937
100% Corpus,8,0.61,0.61,0.3873420217451299
100% Corpus,8,0.61,0.9099999999999999,0.31283597400422786
100% Corpus,8,0.61,symmetric,0.39212167536624337
100% Corpus,8,0.9099999999999999,0.01,0.4190318254010187
100% Corpus,8,0.9099999999999999,0.31,0.3911549221772368
100% Corpus,8,0.9099999999999999,0.61,0.32190838978052605
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3057272239147962
100% Corpus,8,0.9099999999999999,symmetric,0.39256549332617285
100% Corpus,8,symmetric,0.01,0.41241207374120986
100% Corpus,8,symmetric,0.31,0.43885901167025754
100% Corpus,8,symmetric,0.61,0.45423498362324355
100% Corpus,8,symmetric,0.9099999999999999,0.4600281934251428
100% Corpus,8,symmetric,symmetric,0.4511464843426882
100% Corpus,8,asymmetric,0.01,0.42180706648353783
100% Corpus,8,asymmetric,0.31,0.42664397392294995
100% Corpus,8,asymmetric,0.61,0.46529703491936253
100% Corpus,8,asymmetric,0.9099999999999999,0.4712160317614076
100% Corpus,8,asymmetric,symmetric,0.39661387974820217
100% Corpus,9,0.01,0.01,0.41868434425940243
100% Corpus,9,0.01,0.31,0.4290392894117898
100% Corpus,9,0.01,0.61,0.4629176991774796
100% Corpus,9,0.01,0.9099999999999999,0.4632543498636275
100% Corpus,9,0.01,symmetric,0.4261898042348016
100% Corpus,9,0.31,0.01,0.37670377087176266
100% Corpus,9,0.31,0.31,0.4065769944770255
100% Corpus,9,0.31,0.61,0.4265092579026264
100% Corpus,9,0.31,0.9099999999999999,0.40973566240880355
